from_node,to_node,drone_type,relay_required_duration_s,pointwise_sample_count,nonpositive_sample_count,worst_best_joint_margin,communication_edge_possible,best_access_margin,best_backhaul_margin,corrected_access_margin,corrected_backhaul_margin,worst_best_joint_margin_v2,communication_edge_possible_v2,obstacle_loss_rule,pipeline_sha256
S008,O01,B,1156.0699316251785,123,24,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S001,B,1012.2651777822668,108,25,-0.3939969527329765,False,-0.1953818936125912,-0.3939969527329765,9.804618106387409,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S002,B,1528.554083105012,163,43,-0.4303651068388774,False,-0.393823576271842,-0.4303651068388774,9.606176423728158,-0.4303651068388774,-0.4303651068388774,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S003,B,1915.3717171044727,203,41,-0.4137773646973812,False,-0.4137773646973812,-0.4077746302209277,9.58622263530262,-0.4077746302209277,-0.4077746302209277,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S004,B,1430.3495349379175,154,56,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S005,B,1282.5718763066195,140,25,-0.3939969527329765,False,-0.1981197426681689,-0.3939969527329765,9.801880257331833,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S006,B,1219.9497723523596,128,29,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S007,B,1585.5060125165492,170,33,-0.3939969527329765,False,-0.1065063155889021,-0.3939969527329765,9.893493684411098,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S009,B,1421.237214807706,154,28,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S010,B,1661.3326892780983,177,29,-0.3939969527329765,False,-0.2004217477006733,-0.3939969527329765,9.799578252299328,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S011,B,985.3287384531936,105,24,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S012,B,1694.9739110826094,181,48,-0.3939969527329765,False,-0.3919793587061804,-0.3939969527329765,9.60802064129382,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S013,B,1510.221232071091,162,26,-0.3939969527329765,False,-0.3617282189548518,-0.3939969527329765,9.638271781045148,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S014,B,1958.9733435017497,208,33,-0.3939969527329765,False,-0.1100759625359444,-0.3939969527329765,9.889924037464056,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S015,B,1518.583898030448,164,35,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.3939969527329765,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S008,C,1173.07148700441,125,26,-0.3939969527329765,False,-0.0700310777113486,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S008,C,1028.2684763588295,109,25,-0.3939969527329765,False,-0.2426404370588528,-0.3939969527329765,9.757359562941147,-0.3939969527329765,-0.0771202430435664,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S008,C,1561.992566965898,167,44,-0.4303651068388774,False,-0.392997152684984,-0.4303651068388774,9.607002847315016,-0.4303651068388774,-0.4303651068388774,False,conditional_on_DEM_LOS,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
