skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00261,S001>S004>S014,4,2.762608774318465,C
SK-00262,S001>S005>S002,4,1.322380853485683e-06,C
SK-00263,S001>S005>S003,4,0.2164311732641832,C
SK-00264,S001>S005>S004,4,5.230177638468788,C
SK-00265,S001>S005>S006,4,7.267107461609839,C
SK-00266,S001>S005>S007,4,9.58391422285095,C
SK-00267,S001>S005>S008,4,4.831365205739842,C
SK-00268,S001>S005>S009,4,2.38354601331298,C
SK-00269,S001>S005>S010,4,3.963477904678413,C
SK-00270,S001>S005>S011,4,12.965209911402752,C
SK-00271,S001>S005>S012,4,0.0665317100486219,C
SK-00272,S001>S005>S013,4,8.656298124262774,C
SK-00273,S001>S005>S014,4,2.762608774318465,C
SK-00274,S001>S005>S015,4,1.935778272530612,C
SK-00275,S001>S006>S002,4,1.322380853485683e-06,C
SK-00276,S001>S006>S003,4,0.2164311732641832,C
SK-00277,S001>S006>S004,4,4.189370740555972,C
SK-00278,S001>S006>S005,4,7.267107461609839,C
SK-00279,S001>S006>S007,4,9.881076683362563,C
SK-00280,S001>S006>S008,4,4.831365205739842,C
SK-00281,S001>S006>S009,4,2.38354601331298,C
SK-00282,S001>S006>S010,4,3.963477904678413,C
SK-00283,S001>S006>S011,4,inf,C
SK-00284,S001>S006>S012,4,0.0665317100486219,C
SK-00285,S001>S006>S013,4,5.196647073208851,C
SK-00286,S001>S006>S014,4,2.762608774318465,C
SK-00287,S001>S006>S015,4,1.935778272530612,C
SK-00288,S001>S007>S002,4,1.322380853485683e-06,C
SK-00289,S001>S007>S003,4,0.2164311732641832,C
SK-00290,S001>S007>S004,4,5.230177638468788,C
SK-00291,S001>S007>S005,4,8.522413817803681,C
SK-00292,S001>S007>S006,4,8.723823284435028,C
SK-00293,S001>S007>S008,4,4.831365205739842,C
SK-00294,S001>S007>S009,4,2.38354601331298,C
SK-00295,S001>S007>S010,4,3.963477904678413,C
SK-00296,S001>S007>S011,4,8.723823284435028,C
SK-00297,S001>S007>S012,4,0.0665317100486219,C
SK-00298,S001>S007>S013,4,4.902788506246296,C
SK-00299,S001>S007>S014,4,2.762608774318465,C
SK-00300,S001>S007>S015,4,1.935778272530612,C
SK-00301,S001>S008>S002,4,1.322380853485683e-06,C
SK-00302,S001>S008>S003,4,0.2164311732641832,C
SK-00303,S001>S008>S004,4,5.230177638468788,C
SK-00304,S001>S008>S005,4,7.471889086681088,C
SK-00305,S001>S008>S006,4,4.845795140876845,C
SK-00306,S001>S008>S007,4,7.471889086681088,C
SK-00307,S001>S008>S009,4,2.38354601331298,C
SK-00308,S001>S008>S010,4,3.635742969819845,C
SK-00309,S001>S008>S011,4,7.471889086681088,C
SK-00310,S001>S008>S012,4,0.0665317100486219,C
SK-00311,S001>S008>S013,4,4.881031265443923,C
SK-00312,S001>S008>S014,4,2.18784292202227,C
SK-00313,S001>S008>S015,4,1.935778272530612,C
SK-00314,S001>S009>S002,4,1.322380853485683e-06,C
SK-00315,S001>S009>S003,4,0.2164311732641832,C
SK-00316,S001>S009>S004,4,2.38354601331298,C
SK-00317,S001>S009>S005,4,2.38354601331298,C
SK-00318,S001>S009>S006,4,2.38354601331298,C
SK-00319,S001>S009>S007,4,2.38354601331298,C
SK-00320,S001>S009>S008,4,2.38354601331298,C
SK-00321,S001>S009>S010,4,2.38354601331298,C
SK-00322,S001>S009>S011,4,2.38354601331298,C
SK-00323,S001>S009>S012,4,0.0665317100486219,C
SK-00324,S001>S009>S013,4,2.38354601331298,C
SK-00325,S001>S009>S014,4,2.38354601331298,C
SK-00326,S001>S009>S015,4,1.935778272530612,C
SK-00327,S001>S010>S002,4,1.322380853485683e-06,C
SK-00328,S001>S010>S003,4,0.2164311732641832,C
SK-00329,S001>S010>S004,4,3.963477904678413,C
SK-00330,S001>S010>S005,4,3.963477904678413,C
SK-00331,S001>S010>S006,4,3.963477904678413,C
SK-00332,S001>S010>S007,4,3.963477904678413,C
SK-00333,S001>S010>S008,4,3.635742969819845,C
SK-00334,S001>S010>S009,4,2.38354601331298,C
SK-00335,S001>S010>S011,4,3.963477904678413,C
SK-00336,S001>S010>S012,4,0.0665317100486219,C
SK-00337,S001>S010>S013,4,3.963477904678413,C
SK-00338,S001>S010>S014,4,2.762608774318465,C
SK-00339,S001>S010>S015,4,1.935778272530612,C
SK-00340,S001>S011>S002,4,1.322380853485683e-06,C
SK-00341,S001>S011>S003,4,0.2164311732641832,C
SK-00342,S001>S011>S004,4,5.230177638468788,C
SK-00343,S001>S011>S005,4,8.522413817803681,C
SK-00344,S001>S011>S006,4,inf,C
SK-00345,S001>S011>S007,4,9.881076683362563,C
SK-00346,S001>S011>S008,4,4.831365205739842,C
SK-00347,S001>S011>S009,4,2.38354601331298,C
SK-00348,S001>S011>S010,4,3.963477904678413,C
SK-00349,S001>S011>S012,4,0.0665317100486219,C
SK-00350,S001>S011>S013,4,8.648607052352475,C
SK-00351,S001>S011>S014,4,2.762608774318465,C
SK-00352,S001>S011>S015,4,1.935778272530612,C
SK-00353,S001>S012>S002,4,1.322380853485683e-06,C
SK-00354,S001>S012>S003,4,0.0665317100486219,C
SK-00355,S001>S012>S004,4,0.0665317100486219,C
SK-00356,S001>S012>S005,4,0.0665317100486219,C
SK-00357,S001>S012>S006,4,0.0665317100486219,C
SK-00358,S001>S012>S007,4,0.0665317100486219,C
SK-00359,S001>S012>S008,4,0.0665317100486219,C
SK-00360,S001>S012>S009,4,0.0665317100486219,C
SK-00361,S001>S012>S010,4,0.0665317100486219,C
SK-00362,S001>S012>S011,4,0.0665317100486219,C
SK-00363,S001>S012>S013,4,0.0665317100486219,C
SK-00364,S001>S012>S014,4,0.0665317100486219,C
SK-00365,S001>S012>S015,4,0.0665317100486219,C
SK-00366,S001>S013>S002,4,1.322380853485683e-06,C
SK-00367,S001>S013>S003,4,0.2164311732641832,C
SK-00368,S001>S013>S004,4,5.230177638468788,C
SK-00369,S001>S013>S005,4,8.522413817803681,C
SK-00370,S001>S013>S006,4,5.196647073208851,C
SK-00371,S001>S013>S007,4,4.902788506246296,C
SK-00372,S001>S013>S008,4,4.831365205739842,C
SK-00373,S001>S013>S009,4,2.38354601331298,C
SK-00374,S001>S013>S010,4,3.963477904678413,C
SK-00375,S001>S013>S011,4,8.648607052352475,C
SK-00376,S001>S013>S012,4,0.0665317100486219,C
SK-00377,S001>S013>S014,4,2.762608774318465,C
SK-00378,S001>S013>S015,4,1.935778272530612,C
SK-00379,S001>S014>S002,4,1.322380853485683e-06,C
SK-00380,S001>S014>S003,4,0.2164311732641832,C
SK-00381,S001>S014>S004,4,2.762608774318465,C
SK-00382,S001>S014>S005,4,2.762608774318465,C
SK-00383,S001>S014>S006,4,2.762608774318465,C
SK-00384,S001>S014>S007,4,2.762608774318465,C
SK-00385,S001>S014>S008,4,2.18784292202227,C
SK-00386,S001>S014>S009,4,2.38354601331298,C
SK-00387,S001>S014>S010,4,2.762608774318465,C
SK-00388,S001>S014>S011,4,2.762608774318465,C
SK-00389,S001>S014>S012,4,0.0665317100486219,C
SK-00390,S001>S014>S013,4,2.762608774318465,C
SK-00391,S001>S014>S015,4,1.935778272530612,C
SK-00392,S001>S015>S002,4,1.322380853485683e-06,C
SK-00393,S001>S015>S003,4,0.2164311732641832,C
SK-00394,S001>S015>S005,4,1.935778272530612,C
SK-00395,S001>S015>S006,4,1.935778272530612,C
