block_id,block_start,block_end,phase,hover_x,hover_y,altitude,height_offset_m,candidate_source,access_margin,backhaul_margin,joint_margin,energy,energy_ok,dem_legal,height_legal,pass
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0567172,363.2090759277344,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.949607638872777,1.0425156236297397,-2.949607638872777,0.3747905129271348,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0567172,413.2090759277344,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.948223617591239,1.039139479267007,-2.948223617591239,0.3710242232076591,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0567172,463.2090759277344,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.9496404111922914,1.0350649569061972,-2.9496404111922914,0.3754712718187702,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0567172,513.2090759277344,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.953855280629341,1.0302940228480963,-2.953855280629341,0.37991832042988133,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0567172,563.2090759277344,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.960860089723326,1.0248289740043646,-2.960860089723326,0.38436536904099244,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0567172,613.2090759277344,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.9706413573968433,1.0186724342311493,-2.9706413573968433,0.38881241765210356,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0547172,400.8014831542969,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.948305799324885,1.3807478224702692,-2.948305799324885,0.3608518880256475,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0547172,450.8014831542969,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.949027610908203,1.3765281972086996,-2.949027610908203,0.36524418452214474,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0547172,500.8014831542969,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.952548682781142,1.3715551894831037,-2.952548682781142,0.36969123313325586,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0547172,550.8014831542969,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.9588622145351025,1.3658313891818494,-2.9588622145351025,0.374138281744367,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0547172,600.8014831542969,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.967956044703186,1.3593597686395782,-2.967956044703186,0.3785853303554781,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2165414,23.0547172,650.8014831542969,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-2.97981272857659,1.3521436775282325,-2.97981272857659,0.3830323789665892,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0577172,272.35264587402344,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2344859115506353,0.9568817258738278,-3.2344859115506353,0.3770777862357231,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0577172,322.35264587402344,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.228420175793346,0.9548216825178741,-3.228420175793346,0.37263073762461196,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0577172,372.35264587402344,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2249750782581543,0.9520748847496634,-3.2249750782581543,0.3698561826307705,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0577172,422.35264587402344,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.224156863219136,0.9486426353906126,-3.224156863219136,0.37430323124188164,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0577172,472.35264587402344,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.225967015397373,0.9445265596754382,-3.225967015397373,0.37875027985299276,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0577172,522.3526458740234,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2304022509915313,0.9397286026944585,-3.2304022509915313,0.38319732846410387,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0577172,358.96453857421875,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.3896223629302398,0.7909648847420954,-3.3896223629302398,0.382735796045637,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0577172,408.96453857421875,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.388156828981792,0.7878348776915374,-3.388156828981792,0.3782887474345259,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0577172,458.96453857421875,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.389222319002812,0.784045496003003,-3.389222319002812,0.38206563363702023,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0577172,508.96453857421875,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.3928169712865923,0.7795984661567843,-3.3928169712865923,0.38651268224813135,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0577172,558.9645385742188,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.398934512829811,0.7744958097846535,-3.398934512829811,0.3909597308592424,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0577172,608.9645385742188,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.4075642957516123,0.7687398406216062,-3.4075642957516123,0.3954067794703535,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0537172,349.8597106933594,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.3901615105763483,1.6486075507320805,-3.3901615105763483,0.3520502215416278,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0537172,399.8597106933594,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.3882352317783955,1.6449413559576271,-3.3882352317783955,0.35388239796946896,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0537172,449.8597106933594,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.38883983992217,1.6404723846954425,-3.38883983992217,0.3583294465805801,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0537172,499.8597106933594,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.3919742785032554,1.635203115836191,-3.3919742785032554,0.3627764951916912,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0537172,549.8597106933594,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.3976330758349604,1.6291364645479973,-3.3976330758349604,0.3672235438028023,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.21854139999999,23.0537172,599.8597106933594,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.4058063768315066,1.6222757769310476,-3.4058063768315066,0.3716705924139134,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0537172,357.7008056640625,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2257127062677142,1.4586694515534475,-3.2257127062677142,0.36365864943708015,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0537172,407.7008056640625,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2241243512692535,1.4550389923948188,-3.2241243512692535,0.35945411480259604,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0537172,457.7008056640625,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2251644224972296,1.4506401660055843,-3.2251644224972296,0.36390116341370715,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0537172,507.7008056640625,200.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2288310327330123,1.4454753079035498,-3.2288310327330123,0.36834821202481827,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0537172,557.7008056640625,250.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.235117537279109,1.4395471532853463,-3.235117537279109,0.3727952606359294,True,True,True,False
1,1024.834675770496,1381.3845231845694,cruise,109.2145414,23.0537172,607.7008056640625,300.0,trajectory_3d_endpoints_plus_local_xy_offsets,-3.2440125740181145,1.4328588322255058,-3.2440125740181145,0.3772423092470405,True,True,True,False
2,1381.3845231845694,1452.3927751376943,descent,109.2127472,23.0795113,298.2891845703125,50.0,trajectory_3d_endpoints_plus_local_xy_offsets,24.76001244265626,-2.2356943810220855,-2.2356943810220855,0.39555114781311396,True,True,True,False
2,1381.3845231845694,1452.3927751376943,descent,109.2127472,23.0795113,348.2891845703125,100.0,trajectory_3d_endpoints_plus_local_xy_offsets,28.17216975304926,-2.236853364295314,-2.236853364295314,0.39110409920200284,True,True,True,False
2,1381.3845231845694,1452.3927751376943,descent,109.2127472,23.0795113,398.2891845703125,150.0,trajectory_3d_endpoints_plus_local_xy_offsets,23.843124012503353,-2.238341920724338,-2.238341920724338,0.39117166806682524,True,True,True,False
