interval_id,t_start,t_end,phase,start_xyz,end_xyz,crossed_dem_cells,partition_reason
42,88.56403425615922,89.50296171795291,cruise,"[11179874.349331941, 2558848.5174097866, 273.0566101074219]","[11179880.17469516, 2558861.3401130326, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
43,89.50296171795291,90.63381308154801,cruise,"[11179880.17469516, 2558861.3401130326, 273.0566101074219]","[11179887.190806849, 2558876.783874176, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
44,90.63381308154801,91.76466444514311,cruise,"[11179887.190806849, 2558876.783874176, 273.0566101074219]","[11179894.206918538, 2558892.2276353193, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
45,91.76466444514311,91.98607404353305,cruise,"[11179894.206918538, 2558892.2276353193, 273.0566101074219]","[11179895.580604346, 2558895.2513721804, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
46,91.98607404353305,92.20748364192299,cruise,"[11179895.580604346, 2558895.2513721804, 273.0566101074219]","[11179896.954290157, 2558898.2751090415, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
47,92.20748364192299,93.11692540715707,cruise,"[11179896.954290157, 2558898.2751090415, 273.0566101074219]","[11179902.596716033, 2558910.6951333242, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
48,93.11692540715707,94.02636717239116,cruise,"[11179902.596716033, 2558910.6951333242, 273.0566101074219]","[11179908.239141913, 2558923.115157607, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
49,94.02636717239116,95.15721853598626,cruise,"[11179908.239141913, 2558923.115157607, 273.0566101074219]","[11179915.2552536, 2558938.5589187504, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
50,95.15721853598626,96.28806989958136,cruise,"[11179915.2552536, 2558938.5589187504, 273.0566101074219]","[11179922.27136529, 2558954.0026798937, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
51,96.28806989958136,96.53896519453092,cruise,"[11179922.27136529, 2558954.0026798937, 273.0566101074219]","[11179923.827988438, 2558957.429095718, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
52,96.53896519453092,96.78986048948046,cruise,"[11179923.827988438, 2558957.429095718, 273.0566101074219]","[11179925.384611588, 2558960.8555115424, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
53,96.78986048948046,97.66981655814047,cruise,"[11179925.384611588, 2558960.8555115424, 273.0566101074219]","[11179930.844100127, 2558972.872856862, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
54,97.66981655814047,98.54977262680048,cruise,"[11179930.844100127, 2558972.872856862, 273.0566101074219]","[11179936.303588666, 2558984.890202181, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
55,98.54977262680048,99.68062399041004,cruise,"[11179936.303588666, 2558984.890202181, 273.0566101074219]","[11179943.319700355, 2559000.3339633243, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
56,99.68062399041004,100.8114753540196,cruise,"[11179943.319700355, 2559000.3339633243, 273.0566101074219]","[11179950.33581204, 2559015.777724468, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
57,100.8114753540196,101.09185634541156,cruise,"[11179950.33581204, 2559015.777724468, 273.0566101074219]","[11179952.075372532, 2559019.6068192543, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
58,101.09185634541156,101.37223733680351,cruise,"[11179952.075372532, 2559019.6068192543, 273.0566101074219]","[11179953.814933019, 2559023.43591404, 273.0566101074219]",3,phase_transition+DEM_route_cell_boundary
