interval_id,t_start,t_end,phase,dem_cells,distance_max_method,distance_max_km,fspl_upper_bound,obstacle_loss_db,path_loss_upper_bound,threshold,margin_lower_bound,los_clearance_lower_bound,los_state_known,continuous_certified
208,214.91413511933513,215.93165852409942,cruise,3,endpoints,2.3701525742357323,107.54975091068619,10.0,117.54975091068619,122.0,4.4502490893138145,-18.374642353027724,True,True
209,215.93165852409942,216.04498648295913,cruise,3,endpoints,2.3718501160502816,107.55596965936687,10.0,117.55596965936687,122.0,4.444030340633134,-18.40284045410465,True,True
210,216.04498648295913,216.15831444181887,cruise,3,endpoints,2.3735476612673554,107.56218397130951,10.0,117.56218397130951,122.0,4.4378160286904915,-18.43099810814664,True,True
211,216.15831444181887,217.28916580541397,cruise,3,endpoints,2.3904869257624934,107.62395228945324,10.0,117.62395228945324,122.0,4.376047710546757,-18.709774728820264,True,True
212,217.28916580541397,218.42001716900907,cruise,3,endpoints,2.4074265212758013,107.68528564618477,10.0,117.68528564618477,122.0,4.3147143538152335,-18.98461748265447,True,True
213,218.42001716900907,219.46702627021577,cruise,3,endpoints,2.423110490139426,107.74168918932078,10.0,117.74168918932078,122.0,4.25831081067922,-19.23564790847462,True,True
214,219.46702627021577,220.51403537142244,cruise,3,endpoints,2.4387947314468903,107.79772979703414,10.0,117.79772979703414,122.0,4.202270202965863,-19.483440927274785,True,True
215,220.51403537142244,220.59787763381084,cruise,3,endpoints,2.4400507037635015,107.80220185392399,10.0,117.80220185392399,122.0,4.1977981460760105,-19.50314553994167,True,True
216,220.59787763381084,220.68171989619924,cruise,3,endpoints,2.4413066777905184,107.80667161558041,10.0,117.80667161558041,122.0,4.193328384419587,-19.522829824206326,True,True
217,220.68171989619924,221.81257125982327,cruise,3,endpoints,2.4582472254861605,107.8667359875453,10.0,117.8667359875453,122.0,4.133264012454703,-19.786357955968327,True,True
218,221.81257125982327,222.94342262344728,cruise,3,endpoints,2.4751880775740456,107.92638892345599,10.0,117.92638892345599,122.0,4.073611076544012,-20.046269464681245,True,True
219,222.94342262344728,224.0199174212136,cruise,3,endpoints,2.4913149118411817,107.98279738440638,10.0,117.98279738440638,122.0,4.017202615593618,-20.290395400356545,True,True
220,224.0199174212136,225.0964122189799,cruise,3,endpoints,2.507442011101683,108.03884279430446,10.0,118.03884279430446,122.0,3.9611572056955424,-20.53137315551905,True,True
221,225.0964122189799,225.15076878480872,cruise,3,endpoints,2.508256340348844,108.04166320874585,10.0,118.04166320874585,122.0,3.9583367912541547,-20.54345870270106,True,True
222,225.15076878480872,225.20512535063753,cruise,3,endpoints,2.509070670258785,108.0444827099559,10.0,118.0444827099559,122.0,3.9555172900440994,-20.555536385414257,True,True
223,225.20512535063753,226.33597671424707,cruise,3,endpoints,2.526012398937972,108.1029343934333,10.0,118.1029343934333,122.0,3.8970656065666986,-20.805033745717594,True,True
224,226.33597671424707,227.46682807785663,cruise,3,endpoints,2.5429544081624518,108.16099631253228,10.0,118.16099631253228,122.0,3.8390036874677236,-21.051198511421376,True,True
225,227.46682807785663,228.572808572197,cruise,3,endpoints,2.5595240769575613,108.2174092188582,10.0,118.2174092188582,122.0,3.7825907811418062,-21.288789598963376,True,True
226,228.572808572197,229.67878906653738,cruise,3,endpoints,2.5760940036893163,108.27345896869153,10.0,118.27345896869153,122.0,3.7265410313084715,-21.523316946103193,True,True
227,229.67878906653738,229.70365993580657,cruise,3,endpoints,2.576466624835702,108.27471525518413,10.0,118.27471525518413,122.0,3.725284744815866,-21.52855614447236,True,True
228,229.70365993580657,229.72853080507574,cruise,3,endpoints,2.576839246108423,108.27597136042544,10.0,118.27597136042544,122.0,3.7240286395745557,-21.533793824028777,True,True
229,229.72853080507574,230.85938216867083,cruise,3,endpoints,2.593782064125634,108.3328944902895,10.0,118.3328944902895,122.0,3.6671055097104954,-21.7703518392276,True,True
230,230.85938216867083,231.99023353226593,cruise,3,endpoints,2.610725141263207,108.38944786306078,10.0,118.38944786306078,122.0,3.6105521369392193,-22.003832308688345,True,True
231,231.99023353226593,233.12108489588994,cruise,3,endpoints,2.6276684725142445,108.44563624041814,10.0,118.44563624041814,122.0,3.554363759581861,-22.23429490114134,True,True
232,233.12108489588994,234.25193625951394,cruise,3,endpoints,2.6446120529910306,108.50146429282938,10.0,118.50146429282938,122.0,3.4985357071706176,-22.46179775270093,True,True
233,234.25193625951394,234.25655108668715,cruise,3,endpoints,2.6446811975915807,108.501691386447,10.0,118.501691386447,122.0,3.498308613552993,-22.462720170446744,True,True
234,234.25655108668715,234.2611659138604,cruise,3,endpoints,2.644750342196547,108.5019184741419,10.0,118.5019184741419,122.0,3.4980815258580975,-22.463642539858142,True,True
235,234.2611659138604,235.38740245028228,cruise,3,endpoints,2.661625023523246,108.55716225305682,10.0,118.55716225305682,122.0,3.4428377469431837,-22.68730820055157,True,True
236,235.38740245028228,236.51363898670417,cruise,3,endpoints,2.678499942706137,108.61205766261608,10.0,118.61205766261608,122.0,3.387942337383919,-22.908149406085272,True,True
237,236.51363898670417,237.64449035029924,cruise,3,endpoints,2.695444242780649,108.6668318854559,10.0,118.6668318854559,122.0,3.333168114544094,-23.127107247952324,True,True
238,237.64449035029924,238.77534171389433,cruise,3,endpoints,2.712388773751573,108.72126359856136,10.0,118.72126359856136,122.0,3.2787364014386355,-23.343323517808983,True,True
239,238.77534171389433,238.8094422376561,cruise,3,endpoints,2.7128997351412623,108.72289969745121,10.0,118.72289969745121,122.0,3.2771003025487886,-23.349801421186925,True,True
240,238.8094422376561,238.84354276141784,cruise,3,endpoints,2.7134106967380642,108.72453548888186,10.0,118.72453548888186,122.0,3.2754645111181446,-23.356276879647282,True,True
241,238.84354276141784,239.9402936012801,cruise,3,endpoints,2.729844499473811,108.7769830135537,10.0,118.7769830135537,122.0,3.2230169864462965,-23.563246942569435,True,True
242,239.9402936012801,241.03704444114237,cruise,3,endpoints,2.7462785112807686,108.8291164083347,10.0,118.8291164083347,122.0,3.1708835916653015,-23.76773475792848,True,True
243,241.03704444114237,242.16789580473747,cruise,3,endpoints,2.7632237095551218,108.88254576739682,10.0,118.88254576739682,122.0,3.1174542326031798,-23.976028311364104,True,True
244,242.16789580473747,243.29874716833257,cruise,3,endpoints,2.780169122144744,108.9356491452568,10.0,118.9356491452568,122.0,3.0643508547431964,-24.18177753550185,True,True
