service_area,candidate_rank,x,y,altitude,ground,height_offset_m,access_margin,backhaul_margin,joint_margin,relay_energy_ok,dem_legal,height_legal,valid_legal,source
S003,10,109.18291346142856,23.031557795714285,444.08489990234375,319.08489990234375,125.0,1.142584312144436,1.0702601662191,1.0702601662191,True,True,True,True,local_refine
S003,11,109.18291346142856,23.031557795714285,469.08489990234375,319.08489990234375,150.0,1.1379960114354333,1.0680779871785688,1.0680779871785688,True,True,True,True,local_refine
S003,12,109.18291346142856,23.031557795714285,494.08489990234375,319.08489990234375,175.0,1.1277381409893223,1.065720423171186,1.065720423171186,True,True,True,True,local_refine
S003,13,109.18438950666666,23.03380156,379.1606140136719,354.1606140136719,25.0,1.0631943310527845,1.091910191155435,1.0631943310527845,True,True,False,False,local_refine
S003,14,109.18291346142856,23.031557795714285,519.0848999023438,319.08489990234375,200.0,1.1157188676819914,1.063187760275639,1.063187760275639,True,True,True,True,local_refine
S003,15,109.18291346142856,23.031557795714285,544.0848999023438,319.08489990234375,225.0,1.1019528439419162,1.0604803054142735,1.0604803054142735,True,True,True,True,local_refine
S003,16,109.18438950666666,23.03380156,529.1606140136719,354.1606140136719,175.0,1.058973531522355,1.0788712709725985,1.058973531522355,True,True,True,True,local_refine
S003,17,109.18291346142856,23.031557795714285,569.0848999023438,319.08489990234375,250.0,1.0864567356068022,1.0575983862297988,1.0575983862297988,True,True,True,True,local_refine
S003,18,109.18291346142856,23.031557795714285,594.0848999023438,319.08489990234375,275.0,1.0692491558388468,1.0545423509539376,1.0545423509539376,True,True,True,True,local_refine
S003,19,109.18291346142856,23.031557795714285,619.0848999023438,319.08489990234375,300.0,1.0503505922409175,1.051312568268315,1.0503505922409175,True,True,True,True,local_refine
S003,20,109.18391346142856,23.033557795714287,382.1451416015625,357.1451416015625,25.0,1.226923568686999,1.0473374825255064,1.0473374825255064,True,True,False,False,local_refine
S003,21,109.18391346142856,23.033557795714287,407.1451416015625,357.1451416015625,50.0,1.2391869981833992,1.0456019839730717,1.0456019839730717,True,True,True,True,local_refine
S003,22,109.18438950666666,23.03380156,554.1606140136719,354.1606140136719,200.0,1.0446780529482282,1.076082728284561,1.0446780529482282,True,True,True,True,local_refine
S003,23,109.18391346142856,23.033557795714287,432.1451416015625,357.1451416015625,75.0,1.2496436482818751,1.043691590706672,1.043691590706672,True,True,True,True,local_refine
S003,24,109.18338950666669,23.032801560000003,323.0753479003906,298.0753479003906,25.0,1.234342563185848,1.0427611637136351,1.0427611637136351,True,True,False,False,local_refine
S003,25,109.18391346142856,23.033557795714287,457.1451416015625,357.1451416015625,100.0,1.2536735638855845,1.0416065337391842,1.0416065337391842,True,True,True,True,local_refine
S003,26,109.18338950666669,23.032801560000003,348.0753479003906,298.0753479003906,50.0,1.2509763201217226,1.0414421273765413,1.0414421273765413,True,True,True,True,local_refine
S003,27,109.18338950666669,23.032801560000003,373.0753479003906,298.0753479003906,75.0,1.265825648190571,1.03994805486073,1.03994805486073,True,True,True,True,local_refine
S003,28,109.18391346142856,23.033557795714287,482.1451416015625,357.1451416015625,125.0,1.2440172037529038,1.039347064933935,1.039347064933935,True,True,True,True,local_refine
S003,29,109.18338950666669,23.032801560000003,398.0753479003906,298.0753479003906,100.0,1.2788719787182856,1.0382791268954747,1.0382791268954747,True,True,True,True,local_refine
S003,30,109.18391346142856,23.033557795714287,507.1451416015625,357.1451416015625,150.0,1.2325479962874797,1.036913456903747,1.036913456903747,True,True,True,True,local_refine
S003,31,109.18338950666669,23.032801560000003,423.0753479003906,298.0753479003906,125.0,1.2900988747015845,1.0364355451897893,1.0364355451897893,True,True,True,True,local_refine
S003,32,109.18338950666669,23.032801560000003,448.0753479003906,298.0753479003906,150.0,1.2994920987918874,1.0344175323513696,1.0344175323513696,True,True,True,True,local_refine
S003,33,109.18391346142856,23.033557795714287,532.1451416015625,357.1451416015625,175.0,1.2192803239738197,1.0343060029017297,1.0343060029017297,True,True,True,True,local_refine
S003,34,109.18338950666669,23.032801560000003,473.0753479003906,298.0753479003906,175.0,1.2917868087509137,1.032225331797278,1.032225331797278,True,True,True,True,local_refine
S003,35,109.18391346142856,23.033557795714287,557.1451416015625,357.1451416015625,200.0,1.2042307142544502,1.031525016704208,1.031525016704208,True,True,True,True,local_refine
S003,36,109.18338950666669,23.032801560000003,498.0753479003906,298.0753479003906,200.0,1.2808636287383734,1.0298592076564148,1.0298592076564148,True,True,True,True,local_refine
S003,37,109.18438950666666,23.03380156,579.1606140136719,354.1606140136719,225.0,1.028679338022542,1.0731191931251232,1.028679338022542,True,True,True,True,local_refine
S003,38,109.18391346142856,23.033557795714287,582.1451416015625,357.1451416015625,225.0,1.1874177719873271,1.0285708324854994,1.0285708324854994,True,True,True,True,local_refine
S003,39,109.18338950666669,23.032801560000003,523.0753479003906,298.0753479003906,225.0,1.2681184947458206,1.027319444663874,1.027319444663874,True,True,True,True,local_refine
S003,40,109.18391346142856,23.033557795714287,607.1451416015625,357.1451416015625,250.0,1.16886210433195,1.0254438046850964,1.0254438046850964,True,True,True,True,local_refine
S003,41,109.18338950666669,23.032801560000003,548.0753479003906,298.0753479003906,250.0,1.2535674828184398,1.0246063480473993,1.0246063480473993,True,True,True,True,local_refine
S003,42,109.18391346142856,23.033557795714287,632.1451416015625,357.1451416015625,275.0,1.1485862386874004,1.022144307866995,1.022144307866995,True,True,True,True,local_refine
S003,43,109.18338950666669,23.032801560000003,573.0753479003906,298.0753479003906,275.0,1.2372288125308015,1.0217202434056958,1.0217202434056958,True,True,True,True,local_refine
