route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S005->S007->S008->O01,S005->S007->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,4.423345015352727,0.0,4.423345015352727,2825.06093092279
O01->S005->S007->S008->O01,S005->S007->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,7.716044333823289,0.0,7.716044333823289,2938.245522597595
O01->S005->S007->S008->O01,S005->S007->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,8.056293261468776,0.0,8.056293261468776,3004.245522597595
O01->S008->S005->S007->O01,S008->S005->S007,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.243543866852822,0.0,3.243543866852822,2445.030546115492
O01->S008->S005->S007->O01,S008->S005->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",B,True,True,False,10,4,-6.213629794260157,False,False,False,False,3.6366880039031457,0.0,3.6366880039031457,2505.030546115492
O01->S008->S005->S007->O01,S008->S005->S007,"[""S008-MED-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,6.572051916888325,0.0,6.572051916888325,2600.816796929294
O01->S008->S005->S007->O01,S008->S005->S007,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S007-MED-01""]",C,True,True,False,10,4,-6.213629794260157,False,False,False,False,6.759165173977498,0.0,6.759165173977498,2666.8167969292936
O01->S005->S009->S008->O01,S005->S009->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.259958493747372,0.0,3.259958493747372,2345.50145199172
O01->S005->S009->S008->O01,S005->S009->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",B,True,True,False,10,5,-6.213629794260157,False,False,False,False,3.7868361696827715,0.0,3.7868361696827715,2405.50145199172
O01->S005->S009->S008->O01,S005->S009->S008,"[""S008-MED-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,6.712304302059713,0.0,6.712304302059713,2468.152082688334
O01->S005->S009->S008->O01,S005->S009->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S005-MED-01"", ""S009-MED-01""]",C,True,True,False,10,5,-6.213629794260157,False,False,False,False,6.983573543698277,0.0,6.983573543698277,2534.152082688334
