event_or_phase,start_time,end_time,duration,prev_end,gap,overlap,pass
cruise,99.68062399041004,100.8114753540196,1.1308513636095654,99.68062399041004,0.0,0.0,True
cruise,100.8114753540196,101.09185634541156,0.28038099139195083,100.8114753540196,0.0,0.0,True
cruise,101.09185634541156,101.37223733680351,0.28038099139195083,101.09185634541156,0.0,0.0,True
cruise,101.37223733680351,102.22270770900666,0.8504703722031479,101.37223733680351,0.0,0.0,True
cruise,102.22270770900666,103.0731780812098,0.8504703722031479,102.22270770900666,0.0,0.0,True
cruise,103.0731780812098,104.20402944481937,1.1308513636095654,103.0731780812098,0.0,0.0,True
cruise,104.20402944481937,105.33488080842893,1.1308513636095654,104.20402944481937,0.0,0.0,True
cruise,105.33488080842893,105.64474749651218,0.3098666880832468,105.33488080842893,0.0,0.0,True
cruise,105.64474749651218,105.95461418459543,0.3098666880832468,105.64474749651218,0.0,0.0,True
cruise,105.95461418459543,106.77559886012175,0.8209846755263186,105.95461418459543,0.0,0.0,True
cruise,106.77559886012175,107.59658353564807,0.8209846755263186,106.77559886012175,0.0,0.0,True
cruise,107.59658353564807,108.72743489924316,1.1308513635950987,107.59658353564807,0.0,0.0,True
cruise,108.72743489924316,109.85828626283826,1.1308513635950987,108.72743489924316,0.0,0.0,True
cruise,109.85828626283826,110.19763864737837,0.3393523845401063,109.85828626283826,0.0,0.0,True
cruise,110.19763864737837,110.53699103191848,0.3393523845401063,110.19763864737837,0.0,0.0,True
cruise,110.53699103191848,111.3284900110024,0.7914989790839257,110.53699103191848,0.0,0.0,True
cruise,111.3284900110024,112.11998899008631,0.7914989790839115,111.3284900110024,0.0,0.0,True
cruise,112.11998899008631,113.25084035368141,1.1308513635950987,112.11998899008631,0.0,0.0,True
cruise,113.25084035368141,114.38169171727651,1.1308513635950987,113.25084035368141,0.0,0.0,True
cruise,114.38169171727651,114.75052979825901,0.36883808098249915,114.38169171727651,0.0,0.0,True
cruise,114.75052979825901,115.11936787924151,0.36883808098249915,114.75052979825901,0.0,0.0,True
cruise,115.11936787924151,115.8813811618541,0.7620132826125854,115.11936787924151,0.0,0.0,True
cruise,115.8813811618541,116.6433944444667,0.7620132826125996,115.8813811618541,0.0,0.0,True
cruise,116.6433944444667,117.77424580809071,1.1308513636240178,116.6433944444667,0.0,0.0,True
cruise,117.77424580809071,118.90509717171474,1.130851363624032,117.77424580809071,0.0,0.0,True
cruise,118.90509717171474,119.30342094937409,0.3983237776593427,118.90509717171474,0.0,0.0,True
cruise,119.30342094937409,119.70174472703341,0.39832377765932847,119.30342094937409,0.0,0.0,True
cruise,119.70174472703341,120.43427231296917,0.7325275859357561,119.70174472703341,0.0,0.0,True
cruise,120.43427231296917,121.16679989890493,0.7325275859357561,120.43427231296917,0.0,0.0,True
cruise,121.16679989890493,122.29765126251449,1.1308513636095654,121.16679989890493,0.0,0.0,True
cruise,122.29765126251449,123.42850262612406,1.1308513636095654,122.29765126251449,0.0,0.0,True
cruise,123.42850262612406,123.85631210024025,0.42780947411618797,123.42850262612406,0.0,0.0,True
cruise,123.85631210024025,124.28412157435645,0.4278094741162022,123.85631210024025,0.0,0.0,True
cruise,124.28412157435645,124.98716346384981,0.7030418894933632,124.28412157435645,0.0,0.0,True
cruise,124.98716346384981,125.69020535334317,0.7030418894933632,124.98716346384981,0.0,0.0,True
cruise,125.69020535334317,126.82105671693827,1.1308513635950987,125.69020535334317,0.0,0.0,True
cruise,126.82105671693827,127.95190808053337,1.1308513635950987,126.82105671693827,0.0,0.0,True
cruise,127.95190808053337,128.40920325110645,0.4572951705730759,127.95190808053337,0.0,0.0,True
cruise,128.40920325110645,128.86649842167952,0.4572951705730759,128.40920325110645,0.0,0.0,True
cruise,128.86649842167952,129.54005461473048,0.6735561930509562,128.86649842167952,0.0,0.0,True
cruise,129.54005461473048,130.21361080778144,0.6735561930509562,129.54005461473048,0.0,0.0,True
cruise,130.21361080778144,131.34446217137653,1.1308513635950987,130.21361080778144,0.0,0.0,True
cruise,131.34446217137653,132.47531353497163,1.1308513635950987,131.34446217137653,0.0,0.0,True
cruise,132.47531353497163,132.96209440222154,0.4867808672499052,132.47531353497163,0.0,0.0,True
cruise,132.96209440222154,133.44887526947142,0.4867808672498768,132.96209440222154,0.0,0.0,True
cruise,133.44887526947142,134.09294576581664,0.644070496345222,133.44887526947142,0.0,0.0,True
cruise,134.09294576581664,134.73701626216186,0.644070496345222,134.09294576581664,0.0,0.0,True
cruise,134.73701626216186,135.86786762578586,1.1308513636240036,134.73701626216186,0.0,0.0,True
cruise,135.86786762578586,136.9987189894099,1.130851363624032,135.86786762578586,0.0,0.0,True
cruise,136.9987189894099,137.51498555310218,0.5162665636922839,136.9987189894099,0.0,0.0,True
cruise,137.51498555310218,138.03125211679446,0.5162665636922839,137.51498555310218,0.0,0.0,True
cruise,138.03125211679446,138.64583691669728,0.6145847999028149,138.03125211679446,0.0,0.0,True
cruise,138.64583691669728,139.2604217166001,0.6145847999028149,138.64583691669728,0.0,0.0,True
cruise,139.2604217166001,140.39127308020966,1.1308513636095654,139.2604217166001,0.0,0.0,True
cruise,140.39127308020966,141.52212444381922,1.1308513636095654,140.39127308020966,0.0,0.0,True
cruise,141.52212444381922,142.06787670396835,0.5457522601491291,141.52212444381922,0.0,0.0,True
cruise,142.06787670396835,142.6136289641175,0.5457522601491576,142.06787670396835,0.0,0.0,True
cruise,142.6136289641175,143.19872806757792,0.5850991034604078,142.6136289641175,0.0,0.0,True
cruise,143.19872806757792,143.78382717103833,0.5850991034604078,143.19872806757792,0.0,0.0,True
cruise,143.78382717103833,144.91467853463342,1.1308513635950987,143.78382717103833,0.0,0.0,True
cruise,144.91467853463342,146.04552989822852,1.1308513635950987,144.91467853463342,0.0,0.0,True
cruise,146.04552989822852,146.62076785506898,0.5752379568404535,146.04552989822852,0.0,0.0,True
cruise,146.62076785506898,147.19600581190943,0.5752379568404535,146.62076785506898,0.0,0.0,True
cruise,147.19600581190943,147.751619218693,0.5556134067835785,147.19600581190943,0.0,0.0,True
cruise,147.751619218693,148.3072326254766,0.5556134067835785,147.751619218693,0.0,0.0,True
cruise,148.3072326254766,149.43808398907169,1.1308513635950987,148.3072326254766,0.0,0.0,True
cruise,149.43808398907169,150.56893535266678,1.1308513635950987,149.43808398907169,0.0,0.0,True
cruise,150.56893535266678,151.17365900594962,0.6047236532828322,150.56893535266678,0.0,0.0,True
cruise,151.17365900594962,151.77838265923245,0.6047236532828322,151.17365900594962,0.0,0.0,True
cruise,151.77838265923245,152.30451036954472,0.5261277103122666,151.77838265923245,0.0,0.0,True
cruise,152.30451036954472,152.83063807985695,0.5261277103122382,152.30451036954472,0.0,0.0,True
cruise,152.83063807985695,153.96148944348096,1.1308513636240036,152.83063807985695,0.0,0.0,True
cruise,153.96148944348096,155.092340807105,1.130851363624032,153.96148944348096,0.0,0.0,True
cruise,155.092340807105,155.72655015683023,0.6342093497252392,155.092340807105,0.0,0.0,True
cruise,155.72655015683023,156.36075950655547,0.6342093497252392,155.72655015683023,0.0,0.0,True
cruise,156.36075950655547,156.85740152042533,0.4966420138698595,156.36075950655547,0.0,0.0,True
cruise,156.85740152042533,157.3540435342952,0.4966420138698595,156.85740152042533,0.0,0.0,True
cruise,157.3540435342952,158.48489489789029,1.1308513635950987,157.3540435342952,0.0,0.0,True
cruise,158.48489489789029,159.61574626148538,1.1308513635950987,158.48489489789029,0.0,0.0,True
cruise,159.61574626148538,160.2794413079164,0.6636950464310019,159.61574626148538,0.0,0.0,True
cruise,160.2794413079164,160.9431363543474,0.6636950464310019,160.2794413079164,0.0,0.0,True
