service_area,candidate_rank,x,y,altitude,access_margin,backhaul_margin,joint_margin,relay_energy_ok,valid,source,candidate_count_total
S002,28,109.2534741,23.05484240666667,242.860595703125,0.8414841734007723,0.9060892197974937,0.8414841734007723,True,True,local_refine,2844
S002,29,109.2544741,23.05484240666667,220.7923126220703,0.9673164194312704,0.841157791997091,0.841157791997091,True,True,local_refine,2844
S002,30,109.2544741,23.05484240666667,245.7923126220703,0.9725409481716412,0.8405840737632673,0.8405840737632673,True,True,local_refine,2844
S002,31,109.2534741,23.05484240666667,292.860595703125,0.8401256395592895,0.9044543015504871,0.8401256395592895,True,True,local_refine,2844
S002,32,109.2544741,23.05484240666667,270.7923126220703,0.9744186379909934,0.8398428947958649,0.8398428947958649,True,True,local_refine,2844
S002,33,109.2544741,23.05484240666667,295.7923126220703,0.9700113987229884,0.8389343408308036,0.8389343408308036,True,True,local_refine,2844
S002,34,109.2544741,23.05484240666667,320.7923126220703,0.9638844122563626,0.8378585169185726,0.8378585169185726,True,True,local_refine,2844
S002,35,109.2544741,23.05484240666667,345.7923126220703,0.9560449525527304,0.8366155473837011,0.8366155473837011,True,True,local_refine,2844
S002,36,109.2534741,23.05484240666667,217.860595703125,0.8362185546189522,0.906651706650095,0.8362185546189522,True,True,local_refine,2844
S002,37,109.2544741,23.05484240666667,370.7923126220703,0.9465022917675583,0.8352055757770103,0.8352055757770103,True,True,local_refine,2844
S002,38,109.2534741,23.05484240666667,317.860595703125,0.8343752706126111,0.9033820621066866,0.8343752706126111,True,True,local_refine,2844
S002,39,109.24982470857144,23.056314254285716,357.68359375,0.8338972517706793,0.8846325719062662,0.8338972517706793,True,True,local_refine,2844
S002,40,109.25082470857143,23.056314254285716,268.77931213378906,1.0294047072259076,0.8336723146446872,0.8336723146446872,True,True,local_refine,2844
S002,41,109.2544741,23.05484240666667,395.7923126220703,0.9352676639244066,0.8336287648203751,0.8336287648203751,True,True,local_refine,2844
S002,42,109.25082470857143,23.056314254285716,293.77931213378906,1.031342471184601,0.8327785183649041,0.8327785183649041,True,True,local_refine,2844
S002,43,109.2544741,23.05484240666667,420.7923126220703,0.9223542212263993,0.8318852963442964,0.8318852963442964,True,True,local_refine,2844
S002,44,109.25082470857143,23.056314254285716,318.77931213378906,1.0315298130264523,0.8317176826374748,0.8317176826374748,True,True,local_refine,2844
S002,45,109.25216518,23.055842406666667,235.9479217529297,1.031612867467885,0.8312870512079513,0.8312870512079513,True,True,local_refine,2844
S002,46,109.25216518,23.055842406666667,260.9479217529297,1.0358527213535496,0.8306132870383323,0.8306132870383323,True,True,local_refine,2844
S002,47,109.25082470857143,23.056314254285716,343.77931213378906,1.029966506257992,0.8304899298849051,0.8304899298849051,True,True,local_refine,2844
S002,48,109.25116518,23.055842406666667,505.50328063964844,0.8302980299829841,0.8737390396900935,0.8302980299829841,True,True,local_refine,2844
S002,49,109.2544741,23.05484240666667,445.7923126220703,0.9077769833587155,0.8299753712181115,0.8299753712181115,True,True,local_refine,2844
S002,50,109.25216518,23.055842406666667,285.9479217529297,1.0383426813953633,0.8297724789073868,0.8297724789073868,True,True,local_refine,2844
S003,1,109.18438950666666,23.03380156,454.1606140136719,1.0914797765105817,1.0861836629705266,1.0861836629705266,True,True,local_refine,2844
S003,2,109.18438950666666,23.03380156,429.1606140136719,1.0854949499898083,1.0882690591657536,1.0854949499898083,True,True,local_refine,2844
S003,3,109.18438950666666,23.03380156,479.1606140136719,1.0823885032199314,1.083922045562801,1.0823885032199314,True,True,local_refine,2844
S003,4,109.18291346142857,23.031557795714285,344.08489990234375,1.0946464123582018,1.077230046882903,1.077230046882903,True,True,local_refine,2844
