best_hover_x,best_hover_y,best_hover_altitude,best_AGL,terrain_elevation_m,best_access_margin,best_backhaul_margin,best_joint_margin,pointwise_feasible,transport_x,transport_y,transport_z,candidate_count,block_id,time,phase,interval_start,interval_end,sampling
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,10.071622683488101,5.967614830599572,5.967614830599572,True,11178828.759338863,2562083.856068022,372.9093322753906,28611,1,661.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,9.870913927491998,5.967614830599572,5.967614830599572,True,11178825.33194945,2562098.459252668,372.9093322753906,28611,1,662.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,9.674458413229587,5.967614830599572,5.967614830599572,True,11178821.904560037,2562113.0624373145,372.9093322753906,28611,1,663.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,9.482092227848156,5.967614830599572,5.967614830599572,True,11178818.477170622,2562127.6656219605,372.9093322753906,28611,1,664.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,9.293659865472762,5.967614830599572,5.967614830599572,True,11178815.049781209,2562142.2688066065,372.9093322753906,28611,1,665.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,9.109013750099137,5.967614830599572,5.967614830599572,True,11178811.622391796,2562156.8719912525,372.9093322753906,28611,1,666.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,8.928013780029588,5.967614830599572,5.967614830599572,True,11178808.195002383,2562171.4751758985,372.9093322753906,28611,1,667.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,8.750526894921208,5.967614830599572,5.967614830599572,True,11178804.767612968,2562186.0783605445,372.9093322753906,28611,1,668.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,8.576426665811852,5.967614830599572,5.967614830599572,True,11178801.340223555,2562200.681545191,372.9093322753906,28611,1,669.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
109.22252777777778,23.035788888888888,299.06602478027344,50.0,249.06602478027344,8.405592908028254,5.967614830599572,5.967614830599572,True,11178797.912834141,2562215.284729837,372.9093322753906,28611,1,670.7364440917969,cruise,411.7364440917969,952.3754238124606,adaptive_1s
