route,visit_order,box_set,drone_type,hard_deadline_ok,payload_ok,volume_ok,transport_reserve_ok,relay_block_count,feasible_block_count,worst_block_joint_margin,communication_geometry_pass,relay_chain_ok,component_ok,route_feasible,transport_energy,relay_energy,total_energy,makespan
O01->S011->S008->O01,S011->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.550374316233853,0.0,5.550374316233853,2006.425282421441
O01->S005->S008->O01,S005->S008,"[""S005-MED-01"", ""S005-WAT-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.56428993498348,0.0,5.56428993498348,2086.538961939056
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.568769759407893,0.0,5.568769759407893,1962.889630407168
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.5859555889093695,0.0,5.5859555889093695,2028.889630407168
O01->S008->S005->O01,S008->S005,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.590653661603572,0.0,5.590653661603572,2020.5439077600704
O01->S008->S001->O01,S008->S001,"[""S001-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.599466831398134,0.0,5.599466831398134,2028.8610285618695
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S001-MED-02"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.604907638510561,0.0,5.604907638510561,2094.8896304071677
O01->S005->S008->O01,S005->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.616367110817164,0.0,5.616367110817164,2020.5389619390562
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S011-FOD-01"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.655543268846174,0.0,5.655543268846174,2072.4327385831566
O01->S008->S001->O01,S008->S001,"[""S001-MED-01"", ""S001-MED-02"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.662501584980742,0.0,5.662501584980742,2094.8610285618693
O01->S008->S011->O01,S008->S011,"[""S008-MED-01"", ""S008-WAT-01"", ""S011-MED-01"", ""S011-WAT-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.70199939974959,0.0,5.70199939974959,2072.4327385831566
O01->S008->S005->O01,S008->S005,"[""S005-MED-01"", ""S005-WAT-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.716888896255648,0.0,5.716888896255648,2086.5439077600704
O01->S008->S015->O01,S008->S015,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.778473703301085,0.0,5.778473703301085,2274.3032968341586
O01->S015->S008->O01,S015->S008,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.78589167159037,0.0,5.78589167159037,2274.356995586148
O01->S008->S001->O01,S008->S001,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.793768617478066,0.0,5.793768617478066,2028.8610285618695
O01->S008->S004->O01,S008->S004,"[""S008-MED-01""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,5.833885307228801,0.0,5.833885307228801,2074.8153113051053
O01->S004->S008->O01,S004->S008,"[""S008-MED-01""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,5.838635548317757,0.0,5.838635548317757,2074.80507273475
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.846683265042778,0.0,5.846683265042778,2028.889630407168
O01->S008->S011->O01,S008->S011,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.907337389966736,0.0,5.907337389966736,2138.4327385831566
O01->S008->S015->O01,S008->S015,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.92061581255612,0.0,5.92061581255612,2340.3032968341586
O01->S008->S009->O01,S008->S009,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.925330975396019,0.0,5.925330975396019,2006.211658167081
O01->S009->S008->O01,S009->S008,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.929641498309771,0.0,5.929641498309771,2006.262638486273
O01->S011->S008->O01,S011->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.9333484094682785,0.0,5.9333484094682785,2138.425282421441
O01->S008->S007->O01,S008->S007,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.938013082793113,0.0,5.938013082793113,2319.372061507435
O01->S007->S008->O01,S007->S008,"[""S008-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.946108771468637,0.0,5.946108771468637,2319.4091158607566
O01->S008->S005->O01,S008->S005,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.96461026768696,0.0,5.96461026768696,2152.5439077600704
O01->S011->S008->O01,S011->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02"", ""S011-MED-01""]",C,True,True,True,True,4,0,-6.213629794260157,False,False,False,False,5.969795909250231,0.0,5.969795909250231,2204.425282421441
O01->S008->S015->O01,S008->S015,"[""S008-MED-01"", ""S008-WAT-01"", ""S015-MED-01""]",C,True,True,True,True,7,2,-6.213629794260157,False,False,False,False,5.974273157733523,0.0,5.974273157733523,2406.3032968341586
O01->S008->S004->O01,S008->S004,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,7,0,-6.213629794260157,False,False,False,False,5.976027416483836,0.0,5.976027416483836,2140.8153113051053
