primitive_interval,start,end,phase,direct_available,relay_required,direct_margin_lower_bound_db,transport_start_xyz,transport_end_xyz
24,117.8935458549215,118.95110703201385,cruise,True,False,20.222814829570297,"[11179617.7107491, 2558722.346262741, 372.9093322753906]","[11179614.086075116, 2558737.7900238843, 372.9093322753906]"
25,118.95110703201385,119.16044993176477,cruise,True,False,20.165491618970933,"[11179614.086075116, 2558737.7900238843, 372.9093322753906]","[11179613.368575478, 2558740.8470969037, 372.9093322753906]"
26,119.16044993176477,119.3697928315157,cruise,True,False,20.108354133368053,"[11179613.368575478, 2558740.8470969037, 372.9093322753906]","[11179612.65107584, 2558743.904169923, 372.9093322753906]"
27,119.3697928315157,120.21801110885714,cruise,True,False,19.87879373186442,"[11179612.65107584, 2558743.904169923, 372.9093322753906]","[11179609.743901499, 2558756.290858047, 372.9093322753906]"
28,120.21801110885714,121.06622938619859,cruise,True,False,19.65246038590152,"[11179609.743901499, 2558756.290858047, 372.9093322753906]","[11179606.836727152, 2558768.6775461715, 372.9093322753906]"
29,121.06622938619859,122.12379056327741,cruise,True,False,19.37493859664268,"[11179606.836727152, 2558768.6775461715, 372.9093322753906]","[11179603.21205317, 2558784.121307315, 372.9093322753906]"
30,122.12379056327741,123.18135174035625,cruise,True,False,19.10271788852492,"[11179603.21205317, 2558784.121307315, 372.9093322753906]","[11179599.587379185, 2558799.565068458, 372.9093322753906]"
31,123.18135174035625,124.23891291746213,cruise,True,False,18.835864214955834,"[11179599.587379185, 2558799.565068458, 372.9093322753906]","[11179595.962705204, 2558815.008829602, 372.9093322753906]"
32,124.23891291746213,125.29647409456801,cruise,True,False,18.574393885581486,"[11179595.962705204, 2558815.008829602, 372.9093322753906]","[11179592.338031221, 2558830.452590746, 372.9093322753906]"
33,125.29647409456801,126.35403527164684,cruise,True,False,18.318284164401703,"[11179592.338031221, 2558830.452590746, 372.9093322753906]","[11179588.713357238, 2558845.8963518892, 372.9093322753906]"
34,126.35403527164684,127.41159644872567,cruise,True,False,18.067481916959068,"[11179588.713357238, 2558845.8963518892, 372.9093322753906]","[11179585.088683257, 2558861.3401130326, 372.9093322753906]"
35,127.41159644872567,127.53821305713126,cruise,True,False,18.037806933575254,"[11179585.088683257, 2558861.3401130326, 372.9093322753906]","[11179584.654718831, 2558863.1891187443, 372.9093322753906]"
36,127.53821305713126,127.66482966553684,cruise,True,False,18.008206801643652,"[11179584.654718831, 2558863.1891187443, 372.9093322753906]","[11179584.22075441, 2558865.0381244565, 372.9093322753906]"
37,127.66482966553684,128.5957742342101,cruise,True,False,17.792855916040764,"[11179584.22075441, 2558865.0381244565, 372.9093322753906]","[11179581.03004485, 2558878.6328798877, 372.9093322753906]"
38,128.5957742342101,129.52671880288335,cruise,True,False,17.581476144812214,"[11179581.03004485, 2558878.6328798877, 372.9093322753906]","[11179577.839335289, 2558892.2276353193, 372.9093322753906]"
39,129.52671880288335,130.58427997998925,cruise,True,False,17.346071167576085,"[11179577.839335289, 2558892.2276353193, 372.9093322753906]","[11179574.214661308, 2558907.671396463, 372.9093322753906]"
40,130.58427997998925,131.64184115709514,cruise,True,False,17.115579047237546,"[11179574.214661308, 2558907.671396463, 372.9093322753906]","[11179570.589987326, 2558923.115157607, 372.9093322753906]"
41,131.64184115709514,132.69940233417398,cruise,True,False,16.889876694273397,"[11179570.589987326, 2558923.115157607, 372.9093322753906]","[11179566.965313343, 2558938.5589187504, 372.9093322753906]"
42,132.69940233417398,133.75696351125282,cruise,True,False,16.668836951155143,"[11179566.965313343, 2558938.5589187504, 372.9093322753906]","[11179563.34063936, 2558954.0026798937, 372.9093322753906]"
43,133.75696351125282,134.8145246883452,cruise,True,False,16.452330467891414,"[11179563.34063936, 2558954.0026798937, 372.9093322753906]","[11179559.715965377, 2558969.446441037, 372.9093322753906]"
44,134.8145246883452,135.87208586543755,cruise,True,False,16.24022718240984,"[11179559.715965377, 2558969.446441037, 372.9093322753906]","[11179556.091291394, 2558984.890202181, 372.9093322753906]"
45,135.87208586543755,135.91597618270998,cruise,True,False,16.231517841143344,"[11179556.091291394, 2558984.890202181, 372.9093322753906]","[11179555.940862186, 2558985.5311405878, 372.9093322753906]"
46,135.91597618270998,135.9598664999824,cruise,True,False,16.222815851131003,"[11179555.940862186, 2558985.5311405878, 372.9093322753906]","[11179555.790432978, 2558986.1720789955, 372.9093322753906]"
47,135.9598664999824,136.97353735980232,cruise,True,False,16.02386271509812,"[11179555.790432978, 2558986.1720789955, 372.9093322753906]","[11179552.316188203, 2559000.974901732, 372.9093322753906]"
48,136.97353735980232,137.98720821962223,cruise,True,False,15.828713096571065,"[11179552.316188203, 2559000.974901732, 372.9093322753906]","[11179548.84194343, 2559015.777724468, 372.9093322753906]"
49,137.98720821962223,139.04476939670107,cruise,True,False,15.629047803971687,"[11179548.84194343, 2559015.777724468, 372.9093322753906]","[11179545.217269447, 2559031.2214856115, 372.9093322753906]"
50,139.04476939670107,140.1023305737799,cruise,True,False,15.433277937062783,"[11179545.217269447, 2559031.2214856115, 372.9093322753906]","[11179541.592595464, 2559046.665246755, 372.9093322753906]"
51,140.1023305737799,141.15989175087228,cruise,True,False,15.241282776227408,"[11179541.592595464, 2559046.665246755, 372.9093322753906]","[11179537.96792148, 2559062.1090078987, 372.9093322753906]"
52,141.15989175087228,142.21745292796464,cruise,True,False,15.052944823734236,"[11179537.96792148, 2559062.1090078987, 372.9093322753906]","[11179534.3432475, 2559077.552769042, 372.9093322753906]"
53,142.21745292796464,143.23617813119628,cruise,True,False,14.87487468851451,"[11179534.3432475, 2559077.552769042, 372.9093322753906]","[11179530.85167952, 2559092.4294012883, 372.9093322753906]"
54,143.23617813119628,144.25490333442792,cruise,True,False,14.699993329198165,"[11179530.85167952, 2559092.4294012883, 372.9093322753906]","[11179527.360111544, 2559107.3060335354, 372.9093322753906]"
55,144.25490333442792,144.29373930828862,cruise,True,False,14.693388280235993,"[11179527.360111544, 2559107.3060335354, 372.9093322753906]","[11179527.22700554, 2559107.873162432, 372.9093322753906]"
56,144.29373930828862,144.33257528214932,cruise,True,False,14.686787720701432,"[11179527.22700554, 2559107.873162432, 372.9093322753906]","[11179527.093899535, 2559108.4402913293, 372.9093322753906]"
57,144.33257528214932,145.39013645922816,cruise,True,False,14.508751041475506,"[11179527.093899535, 2559108.4402913293, 372.9093322753906]","[11179523.469225552, 2559123.884052473, 372.9093322753906]"
58,145.39013645922816,146.447697636307,cruise,True,False,14.33393659449763,"[11179523.469225552, 2559123.884052473, 372.9093322753906]","[11179519.844551567, 2559139.327813616, 372.9093322753906]"
59,146.447697636307,147.5052588134129,cruise,True,False,14.162244613862057,"[11179519.844551567, 2559139.327813616, 372.9093322753906]","[11179516.219877586, 2559154.77157476, 372.9093322753906]"
60,147.5052588134129,148.5628199905188,cruise,True,False,13.99357888504396,"[11179516.219877586, 2559154.77157476, 372.9093322753906]","[11179512.595203605, 2559170.2153359037, 372.9093322753906]"
61,148.5628199905188,149.62038116759763,cruise,True,False,13.827846682100528,"[11179512.595203605, 2559170.2153359037, 372.9093322753906]","[11179508.970529621, 2559185.659097047, 372.9093322753906]"
62,149.62038116759763,150.67794234467647,cruise,True,False,13.664958689466573,"[11179508.970529621, 2559185.659097047, 372.9093322753906]","[11179505.345855638, 2559201.102858191, 372.9093322753906]"
63,150.67794234467647,151.61394125656278,cruise,True,False,13.523097537842133,"[11179505.345855638, 2559201.102858191, 372.9093322753906]","[11179502.137822878, 2559214.7714231294, 372.9093322753906]"
64,151.61394125656278,152.5499401684491,cruise,True,False,13.383339399888115,"[11179502.137822878, 2559214.7714231294, 372.9093322753906]","[11179498.929790113, 2559228.4399880683, 372.9093322753906]"
65,152.5499401684491,152.67150243364162,cruise,True,False,13.365339783372463,"[11179498.929790113, 2559228.4399880683, 372.9093322753906]","[11179498.513148893, 2559230.2151842727, 372.9093322753906]"
