sortie,interval,time_start,time_end,transport_endpoint_source,relay_endpoint_source,gateway_endpoint_source,same_time_axis,pass
Q2-003,407,19796.047666494775,19797.161385991894,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,408,19797.161385991894,19798.275105489014,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,409,19798.275105489014,19799.051864433677,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,410,19799.051864433677,19799.82862337834,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,411,19799.82862337834,19800.165583930782,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,412,19800.165583930782,19800.502544483224,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,413,19800.502544483224,19801.61626398036,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,414,19801.61626398036,19802.729983477493,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,415,19802.729983477493,19803.76475358288,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,416,19803.76475358288,19804.799523688267,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,417,19804.799523688267,19804.878473079985,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,418,19804.878473079985,19804.957422471703,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,419,19804.957422471703,19806.07114196881,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,420,19806.07114196881,19807.184861465914,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,421,19807.184861465914,19808.298580963048,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,422,19808.298580963048,19809.412300460182,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,423,19809.412300460182,19809.59136222919,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,424,19809.59136222919,19809.770423998194,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,425,19809.770423998194,19810.705081726293,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,426,19810.705081726293,19811.639739454393,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,427,19811.639739454393,19812.753458951498,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
