resource_id,task_id,busy_start,busy_end,phase
U06,SENS19-014,4755.546694415096,5137.047231729039,cruise
U06,SENS19-014,5137.047231729039,5203.258796670445,descent
U08,SENS19-010,5130.885216066781,5239.100882570688,climb
U08,SENS19-010,5239.100882570688,5755.4796209778815,cruise
U08,SENS19-010,5755.4796209778815,5840.449204107764,descent
U08,SENS19-010,6056.449204107764,6124.4248706116705,climb
U08,SENS19-010,6124.4248706116705,6640.80112386399,cruise
U08,SENS19-010,6640.80112386399,6776.070706993873,descent
U05,SENS19-015,5284.663106202548,5340.550357992913,climb
U05,SENS19-015,5340.550357992913,5528.362852366924,cruise
U05,SENS19-015,5528.362852366924,5561.667554515361,descent
U05,SENS19-015,5651.667554515361,5679.421472972393,climb
U05,SENS19-015,5679.421472972393,5867.229208250468,cruise
U05,SENS19-015,5867.229208250468,5934.293910398906,descent
U06,SENS19-018,5745.301904198814,5805.719988915611,climb
U06,SENS19-018,5805.719988915611,6301.421746887542,cruise
U06,SENS19-018,6301.421746887542,6337.203448547698,descent
U06,SENS19-018,6397.203448547698,6427.021533264495,climb
U06,SENS19-018,6427.021533264495,6922.690237675863,cruise
U06,SENS19-018,6922.690237675863,6995.191939336019,descent
U07,SENS19-011,6073.208873982598,6171.292606892754,climb
U07,SENS19-011,6171.292606892754,6711.9315866134175,cruise
U07,SENS19-011,6711.9315866134175,6762.936252751113,descent
U07,SENS19-011,6942.936252751113,6983.739985661269,climb
U07,SENS19-011,6983.739985661269,7524.364093897164,cruise
U07,SENS19-011,7524.364093897164,7646.968760034859,descent
U05,SENS19-019,6922.782314711138,7067.483694105669,climb
U05,SENS19-019,7067.483694105669,7551.598925547991,cruise
U05,SENS19-019,7551.598925547991,7640.920580821428,descent
U05,SENS19-019,7700.920580821428,7775.355293549293,climb
U05,SENS19-019,7775.355293549293,8259.383464417808,cruise
U05,SENS19-019,8259.383464417808,8433.025119691245,descent
U08,SENS19-013,7436.073192148747,7515.557547617496,climb
U08,SENS19-013,7515.557547617496,7869.025707780899,cruise
U08,SENS19-013,7869.025707780899,7934.731152116837,descent
U08,SENS19-013,8150.731152116837,8203.295507585586,climb
U08,SENS19-013,8203.295507585586,8556.76336486363,cruise
U08,SENS19-013,8556.76336486363,8656.118809199566,descent
U07,SENS19-016,8588.981091064019,8647.123735106989,climb
U07,SENS19-016,8647.123735106989,8851.354405756889,cruise
U07,SENS19-016,8851.354405756889,8895.8827108106,descent
U07,SENS19-016,9039.8827108106,9075.505354853569,climb
U07,SENS19-016,9075.505354853569,9279.729527166373,cruise
U07,SENS19-016,9279.729527166373,9352.407832220086,descent
U08,SENS19-017,9882.3260055079,9940.46864955087,climb
U08,SENS19-017,9940.46864955087,10144.69932020077,cruise
U08,SENS19-017,10144.69932020077,10189.227625254482,descent
U08,SENS19-017,10333.227625254482,10368.85026929745,climb
U08,SENS19-017,10368.85026929745,10573.074441610255,cruise
U08,SENS19-017,10573.074441610255,10645.752746663968,descent
