resource_id,task_id,busy_start,busy_end,phase
U06,K26-008,2945.968684719801,3306.700883329532,cruise
U06,K26-008,3306.700883329532,3492.3998384076576,descent
U07,K26-009,2889.5269879058733,3063.1686431793105,climb
U07,K26-009,3063.1686431793105,3547.283874621632,cruise
U07,K26-009,3547.283874621632,3658.935943713429,descent
U07,K26-009,3766.935943713429,3856.2575989868665,climb
U07,K26-009,3856.2575989868665,4340.285769855382,cruise
U07,K26-009,4340.285769855382,4557.337838947178,descent
U08,K26-010,4121.6985629389765,4229.914229442883,climb
U08,K26-010,4229.914229442883,4746.292967850077,cruise
U08,K26-010,4746.292967850077,4831.262550979959,descent
U08,K26-010,4939.262550979959,5007.238217483866,climb
U08,K26-010,5007.238217483866,5523.6144707361855,cruise
U08,K26-010,5523.6144707361855,5658.884053866068,descent
U07,K26-011,4917.337838947178,5015.421571857334,climb
U07,K26-011,5015.421571857334,5556.060551577998,cruise
U07,K26-011,5556.060551577998,5607.0652177156935,descent
U07,K26-011,5679.0652177156935,5719.86895062585,climb
U07,K26-011,5719.86895062585,6260.493058861744,cruise
U07,K26-011,6260.493058861744,6383.097724999439,descent
U05,K26-012,3250.3648040614744,3398.397889185172,climb
U05,K26-012,3398.397889185172,3799.6982247250326,cruise
U05,K26-012,3799.6982247250326,3838.61792687347,descent
U05,K26-012,3928.61792687347,3961.0510119971677,climb
U05,K26-012,3961.0510119971677,4362.299195529888,cruise
U05,K26-012,4362.299195529888,4539.938897678325,descent
U08,K26-013,6048.884053866068,6128.368409334818,climb
U08,K26-013,6128.368409334818,6481.83656949822,cruise
U08,K26-013,6481.83656949822,6547.542013834158,descent
U08,K26-013,6655.542013834158,6708.106369302908,climb
U08,K26-013,6708.106369302908,7061.57422658095,cruise
U08,K26-013,7061.57422658095,7160.929670916888,descent
U06,K26-014,4024.4242169309764,4079.6005210488147,climb
U06,K26-014,4079.6005210488147,4461.124032590025,cruise
U06,K26-014,4461.124032590025,4486.415597531432,descent
U06,K26-014,4576.415597531432,4597.49190164927,climb
U06,K26-014,4597.49190164927,4978.992438963214,cruise
U06,K26-014,4978.992438963214,5045.204003904621,descent
U05,K26-015,4929.938897678325,4985.826149468689,climb
U05,K26-015,4985.826149468689,5173.638643842701,cruise
U05,K26-015,5173.638643842701,5206.943345991138,descent
U05,K26-015,5296.943345991138,5324.697264448169,climb
U05,K26-015,5324.697264448169,5512.504999726245,cruise
U05,K26-015,5512.504999726245,5579.569701874682,descent
U07,K26-016,7172.080130647302,7230.222774690271,climb
U07,K26-016,7230.222774690271,7434.453445340172,cruise
U07,K26-016,7434.453445340172,7478.981750393883,descent
U07,K26-016,7622.981750393883,7658.604394436851,climb
U07,K26-016,7658.604394436851,7862.8285667496575,cruise
U07,K26-016,7862.8285667496575,7935.506871803368,descent
U08,K26-017,8339.67063650247,8397.813280545437,climb
U08,K26-017,8397.813280545437,8602.043951195337,cruise
U08,K26-017,8602.043951195337,8646.572256249048,descent
U08,K26-017,8790.572256249048,8826.194900292017,climb
U08,K26-017,8826.194900292017,9030.419072604824,cruise
U08,K26-017,9030.419072604824,9103.097377658534,descent
U07,K26-018,9054.791728584189,9112.934372627158,climb
U07,K26-018,9112.934372627158,9317.165043277058,cruise
U07,K26-018,9317.165043277058,9361.69334833077,descent
U07,K26-018,9505.69334833077,9541.315992373738,climb
U07,K26-018,9541.315992373738,9745.540164686543,cruise
U07,K26-018,9745.540164686543,9818.218469740255,descent
U06,K26-019,5445.230886610049,5505.648971326847,climb
U06,K26-019,5505.648971326847,6001.350729298778,cruise
U06,K26-019,6001.350729298778,6037.132430958934,descent
U06,K26-019,6097.132430958934,6126.950515675731,climb
U06,K26-019,6126.950515675731,6622.619220087098,cruise
U06,K26-019,6622.619220087098,6695.120921747254,descent
U08,K26-020,9493.097377658534,9565.59907931869,climb
U08,K26-020,9565.59907931869,10061.300837290622,cruise
U08,K26-020,10061.300837290622,10106.027964365818,descent
U08,K26-020,10214.027964365818,10249.809666025973,climb
U08,K26-020,10249.809666025973,10745.47837043734,cruise
U08,K26-020,10745.47837043734,10836.105497512535,descent
U05,K26-021,6568.00967932314,6712.711058717671,climb
U05,K26-021,6712.711058717671,7196.826290159992,cruise
U05,K26-021,7196.826290159992,7286.147945433429,descent
U05,K26-021,7346.147945433429,7420.582658161295,climb
U05,K26-021,7420.582658161295,7904.610829029809,cruise
U05,K26-021,7904.610829029809,8078.252484303247,descent
U07,K26-022,10208.218469740255,10381.860125013693,climb
U07,K26-022,10381.860125013693,10865.975356456014,cruise
U07,K26-022,10865.975356456014,10977.627425547811,descent
U07,K26-022,11085.627425547811,11174.949080821249,climb
U07,K26-022,11174.949080821249,11658.977251689763,cruise
U07,K26-022,11658.977251689763,11876.02932078156,descent
