from_node,to_node,drone_type,relay_required_duration_s,pointwise_sample_count,nonpositive_sample_count,worst_best_joint_margin,communication_edge_possible,best_access_margin,best_backhaul_margin
S013,S008,C,1537.5121952529594,165,27,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S014,S008,C,2052.8821252679613,218,38,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S015,S008,C,1608.1126273000152,172,42,-0.3939969527329765,False,-0.3328788412878225,-0.3939969527329765
S008,O01,C,1173.07148700441,125,26,-0.3939969527329765,False,-0.07003107771134864,-0.3939969527329765
S008,S001,C,1028.8585890371496,109,26,-0.3939969527329765,False,-0.19538189361259128,-0.3939969527329765
S008,S002,C,1568.3490497391267,168,45,-0.4303651068388774,False,-0.39382357627184206,-0.4303651068388774
S008,S003,C,2021.2293821028459,213,46,-0.41377736469738124,False,-0.41377736469738124,-0.40777463022092775
S008,S004,C,1475.4619952650662,158,60,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S005,C,1325.1047305139766,144,26,-0.3939969527329765,False,-0.1981197426681689,-0.3939969527329765
S008,S006,C,1249.9468457166176,131,32,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S007,C,1663.1517410728645,178,37,-0.3939969527329765,False,-0.10650631558890211,-0.3939969527329765
S008,S009,C,1459.3634690801669,157,30,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S010,C,1702.0977751342182,181,31,-0.3939969527329765,False,-0.20042174770067334,-0.3939969527329765
S008,S011,C,1004.9974386078159,107,26,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
S008,S012,C,1727.8937770087161,184,51,-0.3939969527329765,False,-0.3919793587061804,-0.3939969527329765
S008,S013,C,1534.7531381990204,164,28,-0.3939969527329765,False,-0.36172821895485185,-0.3939969527329765
S008,S014,C,2030.826143998169,215,36,-0.3939969527329765,False,-0.11007596253594443,-0.3939969527329765
S008,S015,C,1588.1699362384554,170,39,-0.3939969527329765,False,-0.0313528670875769,-0.3939969527329765
