primitive_index,start,end,phase,direct_available,relay_required,direct_margin
469,1052.6294955133887,1053.6701066762612,cruise,False,True,-3.220655049079923
470,1053.6701066762612,1054.7107178391204,cruise,False,True,-3.2440803888338365
471,1054.7107178391204,1055.7513290019797,cruise,False,True,-3.267443770035129
472,1055.7513290019797,1056.7919401648655,cruise,False,True,-3.290745513886435
473,1056.7919401648655,1057.8325513277514,cruise,False,True,-3.313985939143322
474,1057.8325513277514,1058.8731624906104,cruise,False,True,-3.337165362141832
475,1058.8731624906104,1059.9137736534697,cruise,False,True,-3.3602840968220136
476,1059.9137736534697,1060.8834282905498,cruise,False,True,-3.3817720780113945
477,1060.8834282905498,1061.8530829276299,cruise,False,True,-3.4032078858564034
478,1061.8530829276299,1061.924039453409,cruise,False,True,-3.4047744544777174
479,1061.924039453409,1061.9949959791882,cruise,False,True,-3.40634074514702
480,1061.9949959791882,1063.0356071420738,cruise,False,True,-3.4292792749028678
481,1063.0356071420738,1064.0762183049596,cruise,False,True,-3.452158348606943
482,1064.0762183049596,1065.116829467819,cruise,False,True,-3.474978268567284
483,1065.116829467819,1066.1574406306781,cruise,False,True,-3.49773933483263
484,1066.1574406306781,1067.1980517935506,cruise,False,True,-3.5204418452173343
485,1067.1980517935506,1068.2386629564232,cruise,False,True,-3.543086095318756
486,1068.2386629564232,1069.2792741192957,cruise,False,True,-3.5656723785417626
487,1069.2792741192957,1070.3198852821681,cruise,False,True,-3.5882009861189488
488,1070.3198852821681,1071.3604964450274,cruise,False,True,-3.610672207131188
489,1071.3604964450274,1072.4011076078866,cruise,False,True,-3.6330863285309363
490,1072.4011076078866,1073.441718770759,cruise,False,True,-3.6554436351585764
491,1073.441718770759,1074.4823299336317,cruise,False,True,-3.6777444097656087
492,1074.4823299336317,1074.6935632837428,cruise,False,True,-3.6822643601603886
493,1074.6935632837428,1074.9047966338542,cruise,False,True,-3.6867819950737015
494,1074.9047966338542,1075.7341744466155,cruise,False,True,-3.704497499072275
495,1075.7341744466155,1076.5635522593766,cruise,False,True,-3.7221774835939527
496,1076.5635522593766,1077.6041634222358,cruise,False,True,-3.744310338048493
497,1077.6041634222358,1078.644774585095,cruise,False,True,-3.766387770987592
498,1078.644774585095,1079.685385747981,cruise,False,True,-3.788410055010843
499,1079.685385747981,1080.7259969108668,cruise,False,True,-3.8103774607421173
500,1080.7259969108668,1081.7666080737258,cruise,False,True,-3.832290256850797
501,1081.7666080737258,1082.807219236585,cruise,False,True,-3.854148710072849
502,1082.807219236585,1083.8478303994443,cruise,False,True,-3.8759530852257313
503,1083.8478303994443,1084.8884415623036,cruise,False,True,-3.8977036452251212
504,1084.8884415623036,1085.9290527251894,cruise,False,True,-3.91940065110731
505,1085.9290527251894,1086.9696638880753,cruise,False,True,-3.941044362042234
506,1086.9696638880753,1087.463087113409,cruise,False,True,-3.951288538002075
507,1087.463087113409,1087.956510338743,cruise,False,True,-3.961520816609365
508,1087.956510338743,1088.5036982762683,cruise,False,True,-3.972854152041691
509,1088.5036982762683,1089.0508862137935,cruise,False,True,-3.984172926534825
510,1089.0508862137935,1090.0914973766662,cruise,False,True,-4.005658289267174
511,1090.0914973766662,1091.1321085395386,cruise,False,True,-4.027091375435546
512,1091.1321085395386,1092.172719702411,cruise,False,True,-4.048472435145513
513,1092.172719702411,1093.2133308652838,cruise,False,True,-4.06980171673915
514,1093.2133308652838,1094.2539420281428,cruise,False,True,-4.091079466813085
515,1094.2539420281428,1095.294553191002,cruise,False,True,-4.112305930233944
516,1095.294553191002,1096.3351643538879,cruise,False,True,-4.133481350150447
517,1096.3351643538879,1097.3757755167737,cruise,False,True,-4.154605968014863
518,1097.3757755167737,1098.416386679633,cruise,False,True,-4.175680023595319
519,1098.416386679633,1099.456997842492,cruise,False,True,-4.196703754991773
520,1099.456997842492,1100.2326109430621,cruise,False,True,-4.212341071195681
521,1100.2326109430621,1101.008224043632,cruise,False,True,-4.22795065913499
522,1101.008224043632,1101.2732221059214,cruise,False,True,-4.233277535088519
523,1101.2732221059214,1101.5382201682105,cruise,False,True,-4.238601189381001
524,1101.5382201682105,1102.5788313310964,cruise,False,True,-4.259475360372548
525,1102.5788313310964,1103.6194424939822,cruise,False,True,-4.280300143197309
526,1103.6194424939822,1104.6600536568412,cruise,False,True,-4.301075767842093
527,1104.6600536568412,1105.7006648197005,cruise,False,True,-4.32180246270984
528,1105.7006648197005,1106.7412759825731,cruise,False,True,-4.342480454640622
529,1106.7412759825731,1107.7818871454456,cruise,False,True,-4.363109968921407
530,1107.7818871454456,1108.822498308318,cruise,False,True,-4.383691229302457
531,1108.822498308318,1109.8631094711907,cruise,False,True,-4.40422445801083
532,1109.8631094711907,1110.90372063405,cruise,False,True,-4.424709875760712
533,1110.90372063405,1111.944331796909,cruise,False,True,-4.445147701774346
534,1111.944331796909,1112.9849429597816,cruise,False,True,-4.465538153789524
535,1112.9849429597816,1114.025554122654,cruise,False,True,-4.485881448068454
536,1114.025554122654,1114.0427459362552,cruise,False,True,-4.486217142455928
537,1114.0427459362552,1114.0599377498565,cruise,False,True,-4.486552824031264
538,1114.0599377498565,1115.0833570991276,cruise,False,True,-4.506512720067889
539,1115.0833570991276,1116.1067764483992,cruise,False,True,-4.526427421219125
540,1116.1067764483992,1117.1473876112582,cruise,False,True,-4.546630525389148
541,1117.1473876112582,1118.1879987741174,cruise,False,True,-4.566787322446018
542,1118.1879987741174,1119.2286099370033,cruise,False,True,-4.58689802149874
543,1119.2286099370033,1120.2692210998891,cruise,False,True,-4.606962830262717
544,1120.2692210998891,1121.3098322627484,cruise,False,True,-4.626981955065418
545,1121.3098322627484,1122.3504434256076,cruise,False,True,-4.646955600871976
546,1122.3504434256076,1123.391054588467,cruise,False,True,-4.666883971284804
547,1123.391054588467,1124.431665751326,cruise,False,True,-4.686767268560629
548,1124.431665751326,1125.4722769142118,cruise,False,True,-4.706605693623942
549,1125.4722769142118,1126.5128880770976,cruise,False,True,-4.726399446072136
550,1126.5128880770976,1126.8122697659214,cruise,False,True,-4.732085821048813
551,1126.8122697659214,1127.1116514547452,cruise,False,True,-4.73776851958857
552,1127.1116514547452,1127.8528809287807,cruise,False,True,-4.7518223405444076
553,1127.8528809287807,1128.594110402816,cruise,False,True,-4.765853724980019
554,1128.594110402816,1129.6347215656886,cruise,False,True,-4.785514644126252
555,1129.6347215656886,1130.675332728561,cruise,False,True,-4.80513167605271
556,1130.675332728561,1131.7159438914337,cruise,False,True,-4.824705013914141
557,1131.7159438914337,1132.756555054306,cruise,False,True,-4.844234849609009
558,1132.756555054306,1133.7971662171653,cruise,False,True,-4.863721373786831
559,1133.7971662171653,1134.8377773800244,cruise,False,True,-4.883164775866163
