primitive_interval,dem_cell,entry_parameter,exit_parameter,los_height_entry,los_height_exit,minimum_los_height,dem_height,clearance_lower_bound,pass,obstructed
13,388018004,0.0,1.0,224.4159884611291,224.4159884611291,224.4159884611291,133.5413055419922,90.87468291913692,True,False
13,517357339,0.0,1.0,208.2024479122266,208.2024479122266,208.2024479122266,133.5413055419922,74.66114237023442,True,False
13,644979960,0.0,1.0,192.20410871930744,192.20410871930744,192.20410871930744,132.31642150878906,59.88768721051838,True,False
13,772602582,0.0,1.0,176.20576952638825,176.20576952638825,176.20576952638825,132.31642150878906,43.88934801759919,True,False
13,774319295,0.0,1.0,175.9905681704049,175.9905681704049,175.9905681704049,130.80474853515625,45.18581963524866,True,False
13,776036008,0.0,1.0,175.7753668144216,175.7753668144216,175.7753668144216,130.80474853515625,44.97061827926535,True,False
13,888018004,0.0,1.0,161.7376834072108,161.7376834072108,161.7376834072108,128.7255401611328,33.01214324607798,True,False
13,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
13,57263274,0.0,1.0,265.8782802418039,265.8782802418039,265.8782802418039,144.3026123046875,121.5756679371164,True,False
13,114526547,0.0,1.0,258.6999503761859,258.6999503761859,258.6999503761859,144.3026123046875,114.39733807149838,True,False
13,224546838,0.0,1.0,244.9081797312324,244.9081797312324,244.9081797312324,140.24159240722656,104.66658732400583,True,False
13,334567128,0.0,1.0,231.1164090862789,231.1164090862789,231.1164090862789,140.24159240722656,90.87481667905234,True,False
13,339073385,0.0,1.0,230.55152000036367,230.55152000036367,230.55152000036367,135.11814880371094,95.43337119665273,True,False
13,343579642,0.0,1.0,229.9866309144484,229.9866309144484,229.9866309144484,135.11814880371094,94.86848211073746,True,False
13,458106189,0.0,1.0,215.62997118339604,215.62997118339604,215.62997118339604,133.5413055419922,82.08866564140385,True,False
13,572632736,0.0,1.0,201.27331145234365,201.27331145234365,201.27331145234365,133.5413055419922,67.73200591035146,True,False
13,685639179,0.0,1.0,187.10720680893905,187.10720680893905,187.10720680893905,132.31642150878906,54.79078530014999,True,False
13,798645623,0.0,1.0,172.9411021655344,172.9411021655344,172.9411021655344,132.31642150878906,40.62468065674534,True,False
13,800165727,0.0,1.0,172.75054707788667,172.75054707788667,172.75054707788667,130.80474853515625,41.945798542730415,True,False
13,801685831,0.0,1.0,172.55999199023893,172.55999199023893,172.55999199023893,130.80474853515625,41.75524345508268,True,False
13,900842915,0.0,1.0,160.12999599511946,160.12999599511946,160.12999599511946,128.7255401611328,31.404455833986646,True,False
14,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,145.23208618164062,127.82452392578125,True,False
14,57263274,0.0,1.0,265.8782802418039,265.8782802418039,265.8782802418039,144.3026123046875,121.5756679371164,True,False
14,114526547,0.0,1.0,258.6999503761859,258.6999503761859,258.6999503761859,144.3026123046875,114.39733807149838,True,False
